,Description,Image_URL
OF145SrX44," You are the leader of one of the 7 great cities of the Ancient World. Gather resources, develop commercial routes and affirm your military supremacy. Build your city and erect an architectural wonder which will transcend future times!    7 Wonders  is a simple and addictive game for the whole family. In 30 minutes you can raise a complete civilization and build the greatest Wonders of the World. 
  Winner of the 2011 Kennerspiel des Jahres (Enthusiasts Game of the Year) Award.  ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559253945470-61dlm9QcXpL.jpg
GP7Y2xOUzj," The two rival spymasters know the secret identities of 25 agents. Their teammates know the agents only by their CODENAMES.  The teams compete to see who can make contact with all of their agents first. Spymasters give one-word clues that can point to multiple words on the board. Their teammates try to guess words of the right color while avoiding those that belong to the opposing team. And everyone wants to avoid the assassin.  Codenames: win or lose, it's fun to figure out the clues. ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254183526-51f6ysXCMmL.jpg
VNBC6yq1WO,"15th century princes from the Loire Valley devote their efforts to strategic trading and building in order to bring their estates to prosperity and prominence. Over the course of 5 rounds, collect the most points by trading, live stock farming, city building and scientific research to win! 
 
The Hundred Years? war is over and the Renaissance is looming. Conditions are perfect for the princes of the Loire Valley to propel their estates to prosperity and prominence. Through strategic trading and building, clever planning, and careful thought, players add settlements and castles, practice trade along the river, exploit silver mines, farm livestock, and more in this classic Stefan Feld Eurogame. 
 
How to Play: 1. Players take turns rolling two dice and choosing to move goods tiles from the game board to their player boards; from their player boards onto corresponding numbered and colored regions of their playing fields; to deliver goods in exchange for silverlings; or to take worker tiles. 2. Play continues, with players completing additional actions and noting victory points for each tile placed. 3. Five turns are taken per round, with additional victory points awarded for unused money and workers, undelivered goods, and percentage of settlement complete. The player with the most victory points after five rounds wins the game.",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254202422-51mP2aJfyxL.jpg
oGVgRSAKwX," Each game of  Carcassonne  reveals a unique environment as tiles form a landscape of cities, roads, fields, and monasteries. Claim these features with your followers to win the game. 
  Carcassonne  is a tile placement game where players collectively construct the area around the medieval French city of Carcassonne while competing to place followers on various features and score the most points. 
 First published in 2000, the game's accessible yet deep design has attracted a wide fan base and led to the development of numerous expansions (eg Rivers) and standalone titles in the  Carcassonne  line. ",https://cdn.shopify.com/s/files/1/0513/4077/1515/products/carcassonne-board-game.jpg?v=1609629064
O0G8z5Wgz1," As a wealthy Renaissance merchant, acquire mines and transportation, hire artisans and woo the nobility. Create the most fantastic jewelry to become the best-known merchant of them all! Acquire precious stones to trade them for development cards. Use development cards to acquire more gem stones. Use your gems and gold to create the most fantastic jewelry, and appeal to the nobles to gain the prestige you need to win.  Splendor is a fast-paced and addictive game of chip-collecting and card development. Players are merchants of the Renaissance trying to buy gem mines, means of transportation, shops; all in order to acquire the most prestige points. If you're wealthy enough, you might even receive a visit from a noble at some point, which of course will further increase your prestige.  On your turn, you may (1) collect chips (gems), or (2) buy and build a card, or (3) reserve one card. If you collect chips, you take either three different kinds of chips or two chips of the same kind. If you buy a card, you pay its price in chips and add it to your playing area. To reserve a card, you place it in front of you face down for later building; this costs you a round, but you also get gold in the form of a joker chip, which you can use as any gem.  All of the cards you buy increase your wealth as they give you a permanent gem bonus for later buys; some of the cards also give you prestige points. In order to win the game, you must reach 15 prestige points before your opponents do. ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254164722-51AHDwGznvL.jpg
mce5HZPnF5," The world is on the brink of disaster. In Pandemic Legacy, your disease-fighting team must keep four deadly diseases at bay for a whole year. Each month will bring new surprises, and your actions in each game will have repercussions on the next. Will you let cities fall to the diseases? Will your team be enough to keep the viruses at bay for a whole year? Craft your own unique Pandemic experience with Pandemic Legacy. 
  Pandemic Legacy  is a co-operative campaign game, with an overarching story-arc played through 12-24 sessions, depending on how well your group does at the game. At the beginning, the game starts very similar to basic   Pandemic  , in which your team of disease-fighting specialists races against the clock to travel around the world, treating disease hotspots while researching cures for each of four plagues before they get out of hand. 
 During a player's turn, they have four actions available, with which they may travel around in the world in various ways (sometimes needing to discard a card), build structures like research stations, treat diseases (removing one cube from the board; if all cubes of a color have been removed, the disease has been eradicated), trade cards with other players, or find a cure for a disease (requiring five cards of the same color to be discarded while at a research station). Each player has a unique role with special abilities to help them at these actions. 
 After a player has taken their actions, they draw two cards. These cards can include epidemic cards, which will place new disease cubes on the board, and can lead to an outbreak, spreading disease cubes even further. Outbreaks additionally increase the panic level of a city, making that city more expensive to travel to. 
 Each month in the game, you have two chances to achieve that month's objectives. If you succeed, you win and immediately move on to the next month. If you fail, you have a second chance, with more funding for beneficial event cards. 
 During the campaign, new rules and components will be introduced. These will sometimes require you to permanently alter the components of the game; this includes writing on cards, ripping up cards, and placing permanent stickers on components. Your characters can gain new skills, or detrimental effects. A character can even be lost entirely, at which point it's no longer available for play. ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559257833516-612BUfjuA7fL.jpg
FCuXPSfhDR," 2,000 years ago, the Roman Empire ruled the lands around the Mediterranean Sea. With peace at the borders, harmony inside the provinces, uniform law, and a common currency, the economy thrived and gave rise to mighty Roman dynasties as they expanded throughout the numerous cities. Guide one of these dynasties and send colonists to the remote realms of the Empire, develop your trade network, and appease the ancient gods to curry their favor - all to gain the chance to emerge victorious in Concordia. ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629323022645.jpg
8xos44jY7Q," From Everfrost to Bellsong, many a peaceful year have passed in Everdell — but the time has come for new territories to be settled and new cities to be established. You will be the leader of a group of critters intent on just such a task. There are buildings to construct, lively characters to meet, events to host— you will have a busy year ahead of you! Will the sun shine brightest on your city before the winter moon rises? 
 
 
 128 Critter and Construction cards (48 unique cards) 
 
 
 16 Event Mini-cards 
 
 
 11 Forest Mini-cards 
 
 
 30 Berries 
 
 
 30 Twigs 
 
 
 25 Resin 
 
 
 20 Pebbles 
 
 
 30 Point tokens 
 
 
 20 Occupied tokens 
 
 
 24 Wooden workers 
 
 
 1 8-sided die 
 
 
 1 Game Board, Ever Tree, and Starter Event tiles 
 
 ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1574877074147
AuBvbISHR6,"  Ticket to Ride  is a cross-country train adventure game. Players collect train cards that enable them to claim railway routes connecting cities throughout North America. The longer the routes, the more points they earn. Additional points come to those who can fulfill their Destination Tickets by connecting two distant cities, and to the player who builds the longest continuous railway. So climb aboard for some railroading fun and adventure. You've got a Ticket to Ride!  October 2, 1900 -- it's 28 years to the day that noted London eccentric, Phileas Fogg accepted and then won a 20,000 bet that he could travel Around the World in 80 Days. Now at the dawn of the century some old friends have gathered to celebrate Fogg's impetuous and lucrative gamble -- and to propose a new wager of their own. The stakes: $1 million in a winner-takes-all competition. The objective: to see the most cities in North America -- in just 7 days.   -Spiel Des Jahres 2004(German game of the year) -As d'Or Cannes 2004 (French game of the year) -Game of the year 2004 - Japan -Game of the year 2004 - Sweden -Game of the year 2004 - Finland -Diana Jones Excellence in Gaming Award 2004 -Origins Award Winner - Best Board Game 2005 -Game of the year 2004 - Spain -Parent's Choice Foundation Silver Medal 2004 ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629324738308.jpg
3IPVIROfvl,"   Brass: Birmingham   is an economic strategy game sequel to Martin Wallace's 2007 masterpiece,  Brass .  Birmingham  tells the story of competing entrepreneurs in Birmingham during the industrial revolution, between the years of 1770-1870. 
 As in its predecessor, you must develop, build, and establish your industries and network, in an effort to exploit low or high market demands. 
 Each round, players take turns according to the turn order track, receiving two actions to perform any of the following actions (found in the original game): 
 1)  Build  - Pay required resources and place an industry tile. 2)  Network  - Add a rail/canal link, expanding your network. 3)  Develop  - Increase the VP value of an industry. 4)  Sell  - Sell your cotton, manufactured goods and pottery. 5)  Loan  - Take a £30 loan and reduce your income. 
  Brass: Birmingham  also features a new sixth action: 
 6)  Scout  - Discard three cards and take a wild location and wild industry card. (This action replaces Double Action Build in original  Brass .) 
 The game is played over two halves: the canal era (years 1770-1830) and the rail era (years 1830-1870). To win the game, score the most VPs. VPs are counted at the end of each half for the canals, rails and established (flipped) industry tiles. 
  Birmingham  features dynamic scoring canals/rails. Instead of each flipped industry tile giving a static 1 VP to all connected canals and rails, many industries give 0 or even 2 VPs. This provides players with the opportunity to score much higher value canals in the first era, and creates interesting strategy with industry placement. 
 Iron, coal, and cotton are three industries which appear in both the original  Brass  as well as in  Brass: Birmingham . 
  New ""Sell"" system  
 Brewing has become a fundamental part of the culture in Birmingham. You must now sell your product through traders located around the edges of the board. Each of these traders is looking for a specific type of good each game. To sell cotton, pottery, or manufactured goods to these traders, you must also ""grease the wheels of industry"" by consuming beer. For example, a level 1 cotton mill requires one beer to flip. As an incentive to sell early, the first player to sell to a trader receives free beer. 
  Birmingham  features three all-new industry types: 
  Brewery  - Produces precious beer barrels required to sell goods. 
  Manufactured goods  - Function like cotton, but features eight levels. Each level of manufactured goods provides unique rewards, rather than just escalating in VPs, making it a more versatile (yet potentially more difficult) path vs cotton. 
  Pottery  - These behemoths of Birmingham offer huge VPs, but at a huge cost and need to plan. 
  Increased Coal and Iron Market size  - The price of coal and iron can now go up to £8 per cube, and it's not uncommon. 
  Brass: Birmingham  is a sequel to Brass. It offers a very different story arc and experience from its predecessor. ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629324669399.png
M7r9tO1GbX," Welcome to Quedlinburg, where the best quack doctors gather to brew potions to cure smelly feet, homesickness, and hiccups. You're one of them. Your challenge is to make a special brew that will make you the best miracle doctor in the land. 
  The Quacks of Quedlinburg  is a fun, quick push-your-luck game where you draw from your stock of ingredients, adding them to your cauldron, until your brew seems just right. But be careful: add the wrong ingredient and the potion could spoil. Do you stop early to raise your chance of making a better potion later, or risk a setback to reach for more money and fame now? Finding the right balance between risk and reward is key. 
  Winner of the 2018 Gamer  's Game of the Year in Germany   (the Kennerspiel des Jahres - considered the Oscar of boardgames)  ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1627565358705
OIXt3DmJU0," The women and men of your expedition build the first two settlements. Fortunately, the land is rich in natural resources. You build roads and new settlements that eventually become cities. Will you succeed in gaining supremacy on Catan? Barter trade dominates the scene. Some resources you have in abundance, other resources are scarce. Ore for wool, brick for lumber - you trade according to what is needed for your current building projects. Proceed strategically! If you found your settlements in the right places and skillfully trade your resources, then the odds will be in your favor. But your opponents are smart too. 
 To begin the game, we build the game board using hexagonal terrain tiles. Catan is born - a beautiful island with mountains, pastures, hills, fields, and forests, surrounded by the sea. 
 Each of us places two small houses on spaces where three terrain hexes meet. They are our starting settlements. 
 And so it begins. I roll two dice. An “11”! Each terrain hex is marked with a die roll number. Each player who owns a settlement adjacent to a terrain hex marked with the number rolled receives a resource produced by this hex. Hills produce brick, forests produce lumber, mountains produce ore, fields produce grain, and pastures produce wool. 
 We use these resources to expand across Catan: we build roads and new settlements, or we upgrade our existing settlements to cities. For example, a road costs 1 brick and 1 lumber. If we do not have the necessary resources, we can acquire them by trading with our opponents. 
 Each settlement is worth 1 victory point and each city is worth 2 victory points. If you expand cleverly, you may be the first player to reach 10 victory points and thus win the game! ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629324722072.jpg
9iBOPn3lES," Patchwork is a form of needlework that involves sewing together pieces of fabric into a larger design. In the past, it was a way to make use of leftover pieces of cloth to create clothing and quilts. Today, patchwork is a form of art, in which the designers use precious fabrics to create beautiful textiles. The use of uneven pieces of fabric in particular can result in real masterpieces and is therefore being practiced by a large number of textile artists.  To create a beautiful quilt, however, requires effort and time, but the available patches just do not want to fit together. So choose your patches carefully and keep a healthy supply of buttons to not only finish your quilt, but to make it better and more beautiful than your opponent's. ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629323010323.jpg
E4ELA8cG85," In Race for the Galaxy from Rio Grande Games, players build galactic civilizations using game cards that represent worlds or technical and social developments. Each round consists of one or more of five possible phases. In each round, each player secretly and simultaneously chooses one of seven different action cards and then reveals it. Only the selected phases occur. For these phases, every player performs the phasea€s action, while the selecting player(s) also get a bonus for that phase. For example, if at least one player chooses the Develop action, then the Develop phase will occur, otherwise it is skipped. In it, each player may simultaneously select a development from his hand of cards to build. After revealing the cards, each player adds his development to his tableau of cards on the table and then discards cards from his hand equal to its cost. Each player who chose Develop discards one card fewer as his bonus. Explore allows a player to draw cards and select which of them to add to his hand. Settle allows a player to place a world in his tableau. Some worlds produce goods, represented by face down cards, when Produce is selected. These goods can be discarded for victory points or sold to add cards to the player's hand by selecting Consume. With cards, players can settle new worlds and build more developments, gaining both victory points and card powers that provide advantages in certain phases. The player who best manages his cards, phase and bonus selections, and card powers to build the greatest space empire, wins. The winner is the player with the most victory points. ",https://boardgamesupply.com.au/wp-content/uploads/2020/11/Race-for-the-Galaxy-board-game.png
VibNUMwsqr," 
 Welcome to the world of   Santorini  , a fantastic reimagining of the classic abstract game from 2004. Players are given a sandbox in which to play as gods, moving their workers around the board to build up a beautiful, multi-tiered city. Do you have what it takes to outsmart your opponents? Find out, in  Santorini ! 
 
 
   Santorini   is a re-imagining of the purely abstract 2004 edition. Since its original inception over 30 years ago, Santorini has been continually developed, enhanced and refined by designer Gordon Hamilton. 
 Santorini is an accessible strategy game, simple enough for an elementary school classroom while aiming to provide gameplay depth and content for hardcore gamers to explore, The rules are simple. Each turn consists of 2 steps: 
  1. Move  - move one of your builders into a neighboring space. You may move your Builder Pawn on the same level, step-up one level, or step down any number of levels. 
  2. Build  - Then construct a building level adjacent to the builder you moved. When building on top of the third level, place a dome instead, removing that space from play. 
  Winning the game  - If either of your builders reaches the third level, you win. 
  Variable player powers  - Santorini features variable player powers layered over an otherwise abstract game, with 40 thematic god and hero powers that fundamentally change the way the game is played. 
 
 
   Turns in  Santorini  are made up of two simple step: Move and Build. Move around the board and build a building in a spot adjacent to one of your workers. The first player to move their worker from a second level building to a third level building wins the game! Though, there are a few things that add a wrinkle to the basic formula.  Invoke the Power of the gods! Each player will have access to a god power which lets them do things a little differently than normal. Be it changing the rules for how you can build or move, changing how you interact with other players, or providing you with an alternate victory condition, the 30 different god powers are sure to make every game of  Santorini  different and exciting! 
 ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1577065005762
eh0GTvESIX," Jaipur, capital of Rajasthan. You are one of the two most powerful traders in the city.  But that's not enough for you, because only the merchant with two Seals of Excellence will have the privilege of being invited to the Maharaja's court.  You are therefore going to have to do better than your direct competitor by buying, exchanging and selling at better prices, all while keeping an eye on both your camel herds.  A card game for two seasoned traders! ",https://s3.amazonaws.com/abecorn-item-images/5fb7461e967755003ca2289c.jpg
wkBw955xS3," 
 This ain't your average, everyday Euro game! Welcome to the Great Western Trail, where players take on the role of cattle drivers attempting to wrangle their herd to market. The trail will be tough, and countless hazards await you. Can you make it to the end of your journey and turn a tidy profit? Find out in Great Western Trail!   Simple Mechanics, Complex Decisions  Turns in Great Western Trail are broken into three simple phases that will carry you through the entire game. These simple phases belie a web of deep and complex decisions players will face as they make their way down the trail. The mechanics are simple, but mastering the trail is where the fun lies.   Make Your Move!  A turn starts by moving your cattleman down the trail. The number of spaces a player is allowed to move is dictated by their player board, and there are hazards a plenty all along the trail. Wherever you end up, the next phase is ...   Take Action!  When a player ends their movement, they perform the action listed on the space they ended on. Depending on where you land, you will have different options available to you. Neutral locations or buildings you own will allow you to perform a special action specific to that location or a single auxiliary action. On locations owned by other players, hazard tiles, or teepee tiles, your only option is to use an auxiliary action. Last, there's Kansas City!   Kansas City or Bust!  Landing on Kansas City sets off a series of subphases that must be resolved in order: Three Foresight phases, the Income Phase, and the Delivery Phase. The Foresight subphases give players a choice between two tiles to add to the board (hazard, teepee, or worker). These tiles will affect future trips down the trail, so choose wisely. Earn income from your journey down the trail by revealing and discarding your hand. Finally, choose a city to deliver your cattle to. This leg of your journey is over. Now it's time to do it all again!   Draw!  Draw up to your hand limit and your turn is over! Time to start planning your next move and figure out the choices you'll face in the coming turns. 
 ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254200326-51nQKg6k7DL.jpg
BBg2uXXdB8,"  Kingdomino  is a 2-4 player strategy game that plays like dominoes with a kingdom-building twist. Each turn you will connect a new domino to your existing kingdom, making sure that at least one of its sides connects to a matching element already in play.  Make sure to include dominoes with crowns on them, because at the end of the game you will score points equal to the total number of matching elements multiplied by the number of crowns. 
 In the Giant edition, each domino is 3.12 x 6.25 inches and each wooden king meeple is 2 inches tall!  ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254188772-515tbFJ5C8L.jpg
axOr9uuOwN," Waterdeep, the City of Splendors – the most resplendent jewel in the Forgotten Realms, and a den of political intrigue and shady back-alley dealings. In this game, the players are powerful lords vying for control of this great city. Its treasures and resources are ripe for the taking, and that which cannot be gained through trickery and negotiation must be taken by force! 
 In   Lords of Waterdeep  , a strategy board game for 2-5 players, you take on the role of one of the masked Lords of Waterdeep, secret rulers of the city. Through your agents, you recruit adventurers to go on quests on your behalf, earning rewards and increasing your influence over the city. Expand the city by purchasing new buildings that open up new actions on the board, and hinder – or help – the other lords by playing Intrigue cards to enact your carefully laid plans. 
 During the course of play, you may gain points or resources through completing quests, constructing buildings, playing intrigue cards or having other players utilize the buildings you have constructed. At the end of 8 rounds of play, the player who has accrued the most points wins the game. 
  Lords of Waterdeep  is a Euro-style board game for 2-5 players.  Components:  Game board  Rulebook  5 card stock player mats  121 Intrigue, Quest, and Role cards  130 wooden cubes, pawns, and score pieces  Wooden player markers  Card stock tiles and tokens representing buildings, gold coins, and victory points ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629324168873.jpg
Y2WacykMm5,"  King of Tokyo  is a game for 2 to 6 players where you play as Mutant monsters, rampaging robots, or even abominable aliens battling in a fun, chaotic atmosphere.  Roll dice and choose your strategy: will you attack your enemies? Heal your wounds? improve your monster? Stomp your path to victory. ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559257600208-61doPBeJTjL.jpg
T5lx9elSDt," All of the eligible young men (and many of the not-so-young) seek to woo the princess of Tempest. Unfortunately, she has locked herself in the Palace, and you must rely on others to bring your romantic letters to her. Will yours reach her first? 
  Love Letter  is a game of risk, deduction, and luck for 2 to 4 players. Your goal is to get your love letter into Princess Annette's hands while deflecting the letters from competing suitors. From a deck with only sixteen cards, each player starts with only one card in hand; one card is removed from play. On a turn, you draw one card, and play one card, trying to expose others and knock them from the game. Powerful cards lead to early gains, but make you a target. Rely on weaker cards for too long, however, and your letter may be tossed in the fire. 
   Munchkin Loot Letter:   
 Steal the treasure and backstab your friends - without all of the silly card-playing stuff. Well, without some of it. OK, without all but 16 cards of it, at least.  Munchkin Loot Letter  is a game of risk, deduction, and luck for 2-4 players. 
   Love Letter: Legend of the Five Rings:   
 Love and Honor. A vision of loveliness and poise, Iweko Miaka’s position of princess in the Imperial family ensures her betrothal will be a great contest for the samurai clans of the Emerald Empire. Whichever clan can win her as a wife for one of their young samurai will secure standing and glory for decades to come. And though the marriage may be political, what better way to influence the decision than by winning the heart of the princess herself? 
  Letters to Santa:  
 If you want all of your Christmas wishes brought by the big guy, you’ll need to make sure your letter makes it to him. The closer you get the letter to Santa, the more likely you are to win! But watch out for the wily Krampus, out to dash your yuletide dreams! 
  Letters to Santa  is a game of risk, deduction, and luck for 2–4 players. Your goal is to get your letter into Santa's hands while deflecting the letters from others. From a deck with only sixteen cards, each player starts with only one card in hand; one card is removed from play. On a turn, you draw one card, and play one card, trying to expose others and knock them from the game. Powerful cards lead to early gains, but make you a target. Rely on weaker cards for too long, however, and your letter may be tossed in the fire! ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1540911025441
omFfdCNOD1," Architects of the West Kingdom is set at the end of the Carolingian Empire, circa 850 AD. As royal architects, players compete to impress their King and maintain their noble status by constructing various landmarks throughout his newly appointed domain. 
 Players will need to collect raw materials, hire apprentices and keep a watchful eye on their workforce. These are treacherous times. Rival architects will stop at nothing to slow your progress. Will you remain virtuous, or be found in the company of thieves and black marketeers?  The aim of Architects of the West Kingdom is to be the player with the most Victory Points (VP) at the game's end. Points are gained by constructing various Buildings and advancing work on the Archbishop's Cathedral. Throughout the game, players will need to make a lot of moral decisions. However, only at the game's end will their virtue be judged. A few underhanded deals here and there might not seem like much, but fall too far and you will be punished. The game ends once a set number of constructions have been completed. ",https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629322966225.jpg
